date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:00:47	15507/15507	---M-Z	200	added ('OK')	text/css	etag:%2220089-3c93-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/socicon/css/styles.css	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/socicon/css/styles.css	(from https://www.ese.iitb.ac.in/~energyday/)
00:00:48	18440/18440	---M-Z	200	added ('OK')	text/css	etag:%2220095-4808-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/theme/css/style.css	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/theme/css/style.css	(from https://www.ese.iitb.ac.in/~energyday/)
00:00:48	115731/115731	---M-Z	200	added ('OK')	text/css	etag:%222007e-1c413-5fa63e12bbe80%22	https://www.ese.iitb.ac.in/~energyday/assets/mobirise/css/mbr-additional.css	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/mobirise/css/mbr-additional.css	(from https://www.ese.iitb.ac.in/~energyday/)
00:00:48	31507/31507	---M-Z	200	added ('OK')	text/html	etag:%2220145-7b13-5fa63eb6c4180%22	https://www.ese.iitb.ac.in/~energyday/index.html	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/index-2.html	(from https://www.ese.iitb.ac.in/~energyday/)
00:00:48	26037/26037	---M-Z	200	added ('OK')	text/html	etag:%2220142-65b5-5fa63e37ed640%22	https://www.ese.iitb.ac.in/~energyday/About.html	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/About.html	(from https://www.ese.iitb.ac.in/~energyday/)
00:00:49	13516/13516	---M-Z	200	added ('OK')	text/html	etag:%2220143-34cc-5fa63e5671e40%22	https://www.ese.iitb.ac.in/~energyday/event_details.html	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/event_details.html	(from https://www.ese.iitb.ac.in/~energyday/)
00:00:49	21480/21480	---M-Z	200	added ('OK')	text/html	etag:%2220144-53e8-5fa63e7219f80%22	https://www.ese.iitb.ac.in/~energyday/Gallery.html	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/Gallery.html	(from https://www.ese.iitb.ac.in/~energyday/)
00:00:49	29407/29407	---M-Z	200	added ('OK')	text/html	etag:%2220148-72df-5fa63ed178080%22	https://www.ese.iitb.ac.in/~energyday/Team.html	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/Team.html	(from https://www.ese.iitb.ac.in/~energyday/)
00:00:49	283023/283023	---MCZ	200	added ('OK')	image/gif	etag:%2220045-4518f-5fa63e11c7c40%22	https://www.ese.iitb.ac.in/~energyday/assets/images/ezgif-3-86c9e47067.gif	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/images/ezgif-3-86c9e47067.gif	(from https://www.ese.iitb.ac.in/~energyday/)
00:00:51	7307897/7307897	---MCZ	200	added ('OK')	image/gif	etag:%2220043-6f8279-5fa63e11c7c40%22	https://www.ese.iitb.ac.in/~energyday/assets/images/ezgif-1-aadaa844e9.gif	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/images/ezgif-1-aadaa844e9.gif	(from https://www.ese.iitb.ac.in/~energyday/)
00:00:59	1286697/1286697	---MCZ	200	added ('OK')	image/gif	etag:%2220041-13a229-5fa63e11c7c40%22	https://www.ese.iitb.ac.in/~energyday/assets/images/ezgif-1-8b2e59abf6.gif	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/images/ezgif-1-8b2e59abf6.gif	(from https://www.ese.iitb.ac.in/~energyday/)
00:01:00	62395/62395	---M-Z	200	added ('OK')	image/jpeg	etag:%2220073-f3bb-5fa63e11c7c40%22	https://www.ese.iitb.ac.in/~energyday/assets/images/untitled-1.jpeg	D:/HTTrack%20Website%20Downloader/BaseFolder/Energy-Day-Code/www.ese.iitb.ac.in/_energyday/assets/images/untitled-1.jpg	(from https://www.ese.iitb.ac.in/~energyday/)
